Nom;Alias;IATA;OACI;Pays
Azov Avia Airlines;\N;;AZV;Ukraine
Air Zimbabwe;\N;UM;AZW;Zimbabwe
Aero Jomacha;\N;;MHC;Mexico
Air Memphis;\N;;MHS;Egypt
Air Memphis;\N;;MHU;Uganda
Air Marrakech Service;\N;;MKH;Morocco
Air Max Africa;\N;;AZX;Gabon
Arizona Airways;\N;;AZY;ARIZAIR
Azza Transport;\N;;AZZ;Sudan
Air Continental Inc;\N;;NAR;United States
Antanik-Air;\N;;NAU;Ukraine
Air Newark;\N;;NER;United States
Aircraft Support and Services;\N;;NFF;Lebanon
Aerobanana;\N;;OBA;Mexico
Amako Airlines;\N;;OBK;Nigeria
Aserca Airlines;\N;R7;OCA;Venezuela
Afrique CArgo Service Senegal;\N;;NFS;Senegal
Angoservice;\N;;NGC;Angola
Angel Airlines;\N;;NGE;Thailand
Angel Flight America;\N;;NGF;United States
Air Atonabee;\N;;OUL;Canada
Aero Nova;\N;;OVA;Spain
Amira Air;\N;;XPE;Austria
Aero Express Intercontinental;\N;;XSS;Mexico
Advance Aviation Services;\N;;XTJ;United States
Air Libya Tibesti;\N;;TLR;Libya
Aerovic;\N;;OVC;Ecuador
Airventure;\N;;RVE;Belgium
Aero Servicios;\N;;RVI;Mexico
Airvallee;\N;;RVL;Italy
Aeromover;\N;;OVE;Mexico
Aerovias Ejecutivas;\N;;OVI;Mexico
Aero Servicio Pity;\N;;PTD;Mexico
Aero Copter;\N;;PTE;Mexico
Rossiya-Russian Airlines;Pulkovo Aviation Enterprise;FV;SDM;Russia
Air Pal;\N;;PLL;Spain
Air Pullmantur;\N;;PLM;Spain
Aviaexpress;\N;RX;AEH;Hungary
Aviones Para Servirle;\N;;PSG;Mexico
Avio Sluzba;\N;;SLU;Serbia
Air Scorpio;\N;;SCU;Bulgaria
Air Spirit;\N;;SIP;United States
Alatau Airlines;\N;;BMV;Kazakhstan
Aviateca;\N;;GUG;Guatemala
Aroostook Aviation;\N;;PXX;United States
Aeropycsa;\N;;PYC;Mexico
Association of Private Pilots of Kazakhstan;\N;;PVK;Kazakhstan
The Amiri Flight;\N;;BAH;Bahrain
Aero Services;\N;;BAS;Barbados
Ababeel Aviation;\N;;BBE;Sudan
Air Bashkortostan;\N;;BBT;Russia
Ambulance Air Africa;\N;;MCY;South Africa
American Eagle Airlines;\N;MQ;EGF;United States
Aeropuelche;\N;;PUE;Chile
Aeroput;\N;;PUT;Serbia
Azzurra Air;\N;;AZI;Italy
Airshop;\N;FF;;Netherlands
African Transport Trading and Investment Company;\N;ML;;Sudan
AD Aviation;\N;;VUE;United Kingdom
Aero Costa Taxi Aereo;\N;;XCT;Mexico
Aerovitro;\N;;VRO;Mexico
Aerotaxi Villa Rica;\N;;VRI;Mexico
Aerovega;\N;;VEG;Mexico
Aerovilla;\N;;VVG;Colombia
Aerolineas Villaverde;\N;;VLR;Mexico
Aero Air;\N;;WIL;United States
Aero Ejecutivos;\N;;VEJ;Venezuela
Aero Industries Inc;\N;;WAB;United States
Aero Servicios Vanguardia;\N;;VNG;Mexico
Aero Taxi Los Valles;\N;;VAD;Spain
Aero Vilamoura;\N;;VMR;Portugal
Aero Virel;\N;;VLS;Mexico
Aeronautical Radio Inc;\N;;XAA;United States
Aerovuelox;\N;;VUO;Mexico
Aeronaves TSM;\N;;VTM;Mexico
Air Ivoire;\N;VU;VUN;Ivory Coast
Air Botswana;\N;BP;BOT;Botswana
Air-Rep;\N;;XPR;United States
Air Excel;\N;;XLL;Tanzania
Air Evans;\N;;VAE;Spain
Air Sorel;\N;;WHY;Canada
Air Net Private Charter;\N;;WDR;United States
Air Executive Charter;\N;;XEC;Germany
Air Foyle;\N;GS;UPA;United Kingdom
Air Midwest;\N;;VTY;Nigeria
Air Tahiti;\N;VT;VTA;French Polynesia
Air Urga;\N;3N;URG;Ukraine
Air Vardar;\N;;VDR;Macedonia
Air VIA;\N;VL;VIM;Bulgaria
Air Walser;\N;;WLR;Italy
Aircompany Rosavia;\N;;URA;Ukraine
Aircraft Performance Group;\N;;XLB;United States
Airwaves Airlink;\N;;WLA;Zambia
Airways Corporation of New Zealand;\N;;XFX;New Zealand
Airways;\N;;WAY;France
Airwings oy;\N;;WGS;Finland
Airkenya;\N;;XAK;Kenya
Air-Lift Associates;\N;;WPK;United States
Airtrans Ltd;\N;;VAB;Russia
ARP 410 Airlines;\N;;URP;Ukraine
Auckland Regional Rescue Helicopter Trust;\N;;WPR;New Zealand
Aurora Airlines;\N;;URR;Slovenia
Austro Aereo;\N;;UST;Ecuador
Aviation Partners;\N;;WLT;United States
Avialift Vladivostok;\N;;VLV;Russia
Aviacion Comercial de America;\N;;VME;Mexico
Aviast Air;\N;;VVA;Russia
Aviation North;\N;;WLV;United States
Africa West;\N;FK;WTA;Togo
Avient Air Zambia;\N;;VNT;Zambia
Aviazur;\N;;VZR;France
Aviaprad;\N;;VID;Russia
Avirex;\N;G2;VXG;Gabon
Aviaexpress Aircompany;\N;;VXX;Ukraine
AMR Services Corporation;\N;;XAM;United States
Airline Operations Services;\N;;XAO;United States
Airlines 400;\N;;VAZ;Russia
ATRAN Cargo Airlines;\N;V8;VAS;Russian Federation
Ameravia;\N;;VAM;Uruguay
Angkor Air;\N;;VAV;Cambodia
AVB-2004 Ltd;\N;;VBC;Bulgaria
ASECNA;\N;;XKX;France
AT and T Aviation Division;\N;;XAT;United States
Avalair;\N;;VAI;Serbia
Averitt Air Charter;\N;;VRT;United States
Avensa;\N;VE;AVE;Venezuela
Avolar Aerolineas;\N;V5;VLI;Mexico
Avstar Aviation;\N;;VSA;South Africa
AVESCA;\N;;VSC;Colombia
Aviaprom Enterprises;\N;;XAV;Russia
Avia Trans Air Transport;\N;;VTT;Sudan
Aviostart AS;\N;;VSR;Bulgaria
Aviacao Transportes Aereos e Cargas;\N;;VTG;Angola
Assistance Aeroportuaire de L'Aeroport de Paris;\N;;XJA;France
American Flight Service Systems;\N;;XFS;United States
AASANA;\N;;XXV;Bolivia
Australian air Express;\N;;XME;Australia
AMS Group;\N;;XMG;Russia
Air Caraibes Atlantique;\N;;CAJ;France
Air China Cargo;\N;;CAO;China
Aerovias Caribe;\N;;CBE;Mexico
Aerotaxi del Cabo;\N;;CBO;Mexico
Air Columbus;\N;;CBS;Ukraine
Aero Cabo;\N;;CBV;Mexico
Air China;\N;CA;CCA;China
Aerocardal;\N;;CDA;Chile
Aero Condor Peru;\N;Q6;CDP;Peru
Aerotrans;\N;;CDU;Russia
Airline Skol;\N;;CDV;Russia
Aerofan;\N;;CFF;Spain
ACEF;\N;;CFM;Portugal
Africa One;\N;;CFR;Democratic Republic of the Congo
Aero Calafia;\N;;CFV;Mexico
Air Cargo Belize;\N;;CGB;Belize
Aero Clube Do Algarve;\N;;CGV;Portugal
Air Great Wall;\N;;CGW;China
Aircompany Chaika;\N;;CHJ;Ukraine
Air Charter Services;\N;;CHR;Democratic Republic of the Congo
Air Charter Professionals;\N;;CHV;United States
Asia Continental Airlines;\N;;CID;Kazakhstan
Arctic Circle Air Service;\N;5F;CIR;United States
Aviation Charter Services;\N;;CKL;United States
Aerovias Castillo;\N;;CLL;Mexico
Aero Club De Portugal;\N;;CLP;Portugal
Air Care Alliance;\N;;CMF;United States
Aero Continente Dominicana;\N;;CND;Dominican Republic
Air Toronto;\N;;CNE;Canada
Aquila Air;\N;;CNH;United States
Air Consul;\N;;CNU;Spain
Allcanada Express;\N;;CNX;Canada
ATS Private Company;\N;;CPF;Ukraine
Air Corridor;\N;QC;CRD;Mozambique
Air Central;\N;NV;CRF;Japan
Air Cruzal;\N;;CRJ;Angola
Aerotransportes Corporativos;\N;;CRP;Mexico
Air Creebec;\N;;CRQ;Canada
Aero Charter and Transport;\N;;CTA;United States
Air Tenglong;\N;;CTE;China
Aerlineas Centauro;\N;;CTR;Mexico
Aerocuahonte;\N;;CUO;Mexico
Air Chathams;\N;CV;CVA;New Zealand
Air Marshall Islands;\N;CW;CWM;Marshall Islands
Australian Customs Service;\N;;CWP;Australia
Air One Cityliner;\N;;CYL;Italy
Air Transport;\N;;CYO;United States
Access Air;\N;ZA;CYD;United States
Aerocheyenne;\N;;CYE;Mexico
Air Algerie;\N;AH;DAH;Algeria
Aerovias DAP;\N;;DAP;Chile
Air Alpha;\N;;DBA;United States
Air Niagara Express;\N;;DBD;Canada
Aviation Defense Service;\N;;DEF;France
Air Service Groningen;\N;;DEG;Netherlands
Adam Air;\N;KI;DHI;Indonesia
Astar Air Cargo;\N;ER;DHL;United States
Archer Aviation;\N;;DHM;United Kingdom
Aeromedica;\N;;DIC;Mexico
Aerodin;\N;;DIN;Mexico
Antinea Airlines;\N;HO;DJA;Algeria
Air Djibouti;\N;;DJU;Djibouti
Air Dolomiti;\N;EN;DLA;Italy
Aero Modelo;\N;;DLS;Mexico
Aerolineas Del Sur;\N;;DLU;Chile
Aerodinamica de Monterrey;\N;;DMC;Mexico
Aeroservicios Dinamicos;\N;;DMI;Mexico
Aerotaxis Dosmil;\N;;DML;Mexico
Aerodespachos De El Salvador;\N;;DNA;El Salvador
Aeroynamics Malaga;\N;;DNC;Spain
Aerodynamics Incorporated;\N;;DNJ;United States
Aeroflot-Don;\N;D9;DNV;Russia
Air Madrid;\N;NM;DRD;Spain
Airways Flight Training;\N;;DRM;United Kingdom
Aeronaves Del Noreste;\N;;DRO;Mexico
Addis Air Cargo Services;\N;;DSC;Ethiopia
Aero Algarve;\N;;DSK;Portugal
Aex Air;\N;;DST;United States
Aero Davinci International;\N;;DVI;Mexico
Aero Dynamics;\N;;DYN;United States
Aeroservicios Ecuatorianos;\N;;EAE;Ecuador
Aero-Pyrenees;\N;;EAP;France
Air Transport;\N;;EAT;Slovakia
Aero Airlines;\N;EE;EAY;Estonia
Aero Ejecutivo De Baja California;\N;;EBC;Mexico
Air City;\N;4F;ECE;Germany
Aero Ejecutivos RCG;\N;;ECG;Mexico
Aeronautica Castellana;\N;;ECL;Spain
Aerolineas Comerciales;\N;;ECM;Mexico
Aerolineas Nacionales Del Ecuador;\N;;EDA;Ecuador
Air Este;\N;;EET;Spain
Air Mana;\N;;EFC;France
Aer Lingus;\N;EI;EIN;Ireland
Aeroservicios Ejecutivos Corporativos;\N;;EJP;Mexico
Alpi Eagles;\N;E8;ELG;Italy
Arrendoora y Transportadora Aerea;\N;;END;Mexico
Eliossola;\N;;EOS;Italy
Shenzhen Donghai Airlines;\N;;EPA;China
Aeronaves Del Noroeste;\N;;ENW;Spain
Airailes;\N;;EOL;France
Aero Ermes;\N;;EOM;Mexico
Aero Transportes Empresariales;\N;;EPL;Mexico
Epps Air Service;\N;;EPS;United States
Aero Empresarial;\N;;EPE;Mexico
Air S;\N;KY;EQL;Air S
Avianergo;\N;;ERG;Russia
Aero Servicios Regiomontanos;\N;;ERI;Mexico
Aerosec;\N;;ERK;Chile
Aeromaan;\N;;ERM;Mexico
Aerosaba;\N;;ESB;Mexico
Avitat;\N;;ESO;United Kingdom
Aerolineas Ejecutivas Del Sureste;\N;;ESU;Mexico
Aeronautica Le Esperanza;\N;;ESZ;Mexico
ATTICO;\N;;ETC;Sudan
Aero Siete;\N;;ETE;Mexico
Air Atlanta Europe;\N;;EUK;United Kingdom
Air Evex;\N;;EVE;Germany
Aeronautical Academy of Europe;\N;;EVR;Portugal
Air Exchange;\N;;EXG;United States
Atlantic Helicopters;\N;;FAC;Denmark
Argentine Air Force;\N;;FAG;Argentina
Air Fiji;\N;PC;FAJ;Fiji
AF-Air International;\N;;FAN;Angola
Aviation Data Systems;\N;;FBW;United States
Air Carriers;\N;;FCI;United States
Aerofrisco;\N;;FCO;Mexico
Alfa 4;\N;;FCU;Mexico
African Airlines;\N;;FDA;Mali
African Medical and Research Foundation;\N;;FDS;Kenya
Aero Freight;\N;;FGT;Mexico
Aerosafin;\N;;FIC;Mexico
Air Finland;\N;OF;FIF;Finland
Aerodata Flight Inspection;\N;;FII;Germany
Airfix Aviation;\N;;FIX;Finland
Air Pacific;\N;FJ;FJI;Fiji
Air Falcon;\N;;FLD;Pakistan
Atlantic Airways;\N;RC;FLI;Faroe Islands
Air Florida;\N;QH;FLZ;United States
Air Fret De Mauritanie;\N;;FMT;Mauritania
Avio Nord;\N;;FNM;Italy
Aeroflota Del Noroeste;\N;;FNO;Spain
Aero Fenix;\N;;FNX;France
Ford Motor Company;\N;;FRD;United States
African Company Airlines;\N;;FPY;Democratic Republic of the Congo
Afrijet Airlines;\N;;FRJ;Nigeria
Afrika Aviation Handlers;\N;;FRK;Kenya
Afrique Chart'air;\N;;FRQ;Cameroon
Aerofreight Airlines;\N;;FRT;Russia
Aereos Limited;\N;;FST;United Kingdom
Air Affaires Tchad;\N;;FTC;Chad
ABC Bedarsflug;\N;;FTY;Austria
Air Iceland;\N;NY;FXI;Iceland
Air Philippines;\N;2P;GAP;Philippines
Aerogaucho;\N;;GAU;Uruguay
Aero Business Charter;\N;;GBJ;Germany
Atlantic Airlines;\N;;GBN;Gabon
Aeronor;\N;;GCF;Spain
Aerogem Cargo;\N;;GCK;Ghana
Aerovias del Golfo;\N;;GFO;Mexico
Aeronautica;\N;;GGL;Angola
Air Georgian;\N;ZX;GGN;Canada
Aviance;\N;;GHL;United Kingdom
Air Ghana;\N;;GHN;Ghana
African International Transport;\N;;GIL;Guinea
Air Guinee Express;\N;2U;GIP;Guinea
Africa Airlines;\N;;GIZ;Guinea
Air Gemini;\N;;GLL;Angola
Aero Charter;\N;;GLT;United States
Aguilas Mayas Internacional;\N;;GME;Guatemala
Aerotaxis Guamuchil;\N;;GMM;Mexico
Aeroservicios Gama;\N;;GMS;Mexico
Amber Air;\N;0A;GNT;Lithuania
Alberta Government;\N;;GOA;Canada
Air Scotland;\N;;GRE;Greece
Air Georgia;\N;DA;GRG;Georgia
Air Cargo Center;\N;;GRI;Sao Tome and Principe
Air Greenland;\N;GL;GRL;Denmark
Allegro;\N;LL;GRO;Mexico
Agroar - Trabalhos Aereos;\N;;GRR;Portugal
Aircompany Grodno;\N;;GRX;Belarus
Airlift Alaska;\N;;GSP;United States
Agrocentr-Avia;\N;;GSV;Kazakhstan
Altin Havayolu Tasimaciligi Turizm Ve Ticaret;\N;;GTC;Turkey
Atlas Air;\N;5Y;GTI;United States
Aerotaxi Grupo Tampico;\N;;GTP;Mexico
Aerotaxis de Aguascalientes;\N;;GUA;Mexico
Air Guyane;\N;GG;GUY;French Guiana
Air Victoria Georgia;\N;;GVI;Georgia
Air D'Ayiti;\N;H9;HAD;Haiti
Air Comores International;\N;GG;HAH;Comoros
Air Taxi;\N;;HAT;France
Aerohein;\N;;HEI;Chile
Atlantic Air Lift;\N;;HGH;France
Atlantic Airlines de Honduras;\N;;HHA;Honduras
Aviacion Ejecutiva De Hildago;\N;;HID;Mexico
Air Haiti;\N;;HJA;Haiti
Al Rais Cargo;\N;;HJT;United Arab Emirates
Air-Invest;\N;;HKH;Hungary
Air Tahoma;\N;;HMA;United States
Air Nova;\N;;HMT;Canada
Aero Homex;\N;;HOM;Mexico
Almiron Aviation;\N;;HPO;Uganda
Avinor;\N;;HQO;Norway
Airlink Airways;\N;;HYR;Ireland
Air Horizon;\N;8C;HZT;Togo
AC Insat-Aero;\N;;IAE;Russia
Air Inter Cameroun;\N;;ICM;Cameroon
Air Lift;\N;;IFI;Greece
Aero Survey;\N;;IKM;Ghana
Aero Airline;\N;;ILK;Kazakhstan
Airtime Charters;\N;;IME;United Kingdom
Aerotaxis Cimarron;\N;;IMN;Mexico
Aero International;\N;;INA;Mexico
Aeroingenieria;\N;;ING;Chile
Aeroservicios Intergrados de Norte;\N;;INO;Mexico
Airpull Aviation;\N;;IPL;Spain
Arvand Airlines;\N;;IRD;Iran
Atlas Aviation Group;\N;;IRH;Iran
Aram Airline;\N;;IRW;Iran
Aria Tour;\N;;IRX;Iran
Aerotaxi;\N;;ITE;Czech Republic
Avita-Servicos Aereos;\N;;ITF;Angola
Aero Citro;\N;;ITO;Mexico
Air Executive;\N;;IVE;Spain
Aviainvest;\N;;IWS;Russia
Air Bagan;\N;W9;JAB;Myanmar
Aerojal;\N;;JAD;Mexico
Airlink;\N;;JAR;Austria
Ambjek Air Services;\N;;JEE;Nigeria
Avfinity;\N;;UTX;United States
Alexandair;\N;;JMR;Canada
Air Jamaica Express;\N;;JMX;Jamaica
Air Swift Aviation;\N;;JOA;Australia
Aerojobeni;\N;;JOB;Mexico
Atyrau Air Ways;\N;IP;JOL;Kazakhstan
Aerosmith Aviation;\N;;JPR;United States
Arrendamiento de Aviones Jets;\N;;JTS;Mexico
Aero Juarez;\N;;JUA;Mexico
Air Canada Jazz;\N;QK;JZA;Canada
Asia Aero Survey and Consulting Engineers;\N;;KAA;Republic of Korea
Air Kirovograd;\N;;KAD;Ukraine
Air Mach;\N;;KAM;Italy
Air Kufra;\N;;KAV;Libya
Arkhabay;\N;;KEK;Kazakhstan
Aero Charter Krifka;\N;;KFK;Austria
Air Kraft Mir;\N;;KFT;Uzbekistan
Air Concorde;\N;;KGD;Bulgaria
Alexandria Airlines;\N;;KHH;Egypt
Afit;\N;;KIE;Germany
Air South;\N;;KKB;United States
Atlasjet;\N;KK;KKK;Turkey
Air Mali International;\N;;KLB;Mali
Aerokaluz;\N;;KLZ;Mexico
Air Koryo;\N;JS;KOR;Democratic People's Republic of Korea
Araiavia;\N;;KOY;Kazakhstan
AeroSucre;\N;;KRE;Colombia
Air Kokshetau;\N;;KRT;Kazakhstan
Air Kissari;\N;;KSI;Angola
Aeronavigaciya;\N;;KTN;Ukraine
Alliance Avia;\N;;KVR;Kazakhstan
Av Atlantic;\N;;KYC;United States
Air Astana;\N;KC;KZR;Kazakhstan
Aerovias De Lagos;\N;;LAG;Mexico
Albanian Airlines;\N;LV;LBC;Albania
Albisa;\N;;LBI;Mexico
Albatros Airways;\N;;LBW;Albania
Aerolineas Aereas Ejecutivas De Durango;\N;;LDG;Mexico
Aerologic;\N;;LDL;Russia
Al-Donas Airlines;\N;;LDN;Nigeria
Aero Lider;\N;;LDR;Mexico
Aleem;\N;;LEM;Egypt
Aerolineas Ejecutivas;\N;;LET;Mexico
Air Alfa;\N;;LFA;Turkey
Aero Control Air;\N;;LFC;Canada
Aerolaguna;\N;;LGN;Mexico
Al Ahram Aviation;\N;;LHR;Egypt
Alidaunia;\N;D4;LID;Italy
Al-Dawood Air;\N;;LIE;Nigeria
American Aviation;\N;;LKP;United States
Airlink Solutions;\N;;LKS;Spain
Air Solutions;\N;;LKY;United States
Alliance Air;\N;CD;LLR;India
Aerolima;\N;;LMA;Mexico
Alamia Air;\N;;LML;Libya
Air Plus Argentina;\N;;LMP;Argentina
Almaty Aviation;\N;;LMT;Kazakhstan
Aerolineas Mexicanas J S;\N;;LMX;Mexico
Air Almaty;\N;;LMY;Kazakhstan
Air Almaty ZK;\N;;LMZ;Kazakhstan
Aerolane;\N;XL;LNE;Ecuador
Airlink;\N;;LNK;South Africa
Aerolineas Internacionales;\N;;LNT;Mexico
Alok Air;\N;;LOK;Sudan
Air Saint Louis;\N;;LOU;Senegal
Alpine Aviation;\N;;LPC;South Africa
Air Alps Aviation;\N;A6;LPV;Austria
Alrosa-Avia;\N;;LRO;Russia
Al Rida Airways;\N;;LRW;Mauritania
Aurela;\N;;LSK;Lithuania
Aerobusinessservice;\N;;LSM;Russia
Alsair;\N;;LSR;France
Aerotaxis Latinoamericanos;\N;;LTI;Mexico
Alninati Aeronautics;\N;;LUC;Switzerland
Atlantis European Airways;\N;TD;LUR;Armenia
Aliven;\N;;LVN;Italy
Aviavilsa;\N;;LVR;Lithuania
Air Luxor GB;\N;L8;LXG;Guinea-Bissau
Air Luxor;\N;LK;LXR;Portugal
Apatas Air;\N;;LYT;Lithuania
Air Ban;\N;;LZP;Bulgaria
Air Lazur;\N;;LZR;Bulgaria
Aerodromo De La Mancha;\N;;MAM;Spain
Air Mauritius;\N;MK;MAU;Mauritius
Avag Air;\N;;MBA;Austria
Air Manas;\N;;MBB;Kyrgyzstan
Airjet Exploracao Aerea De Carga;\N;;MBC;Angola
Aeriantur-M;\N;;MBV;Moldova
Air Mercia;\N;;MCB;United Kingdom
Air Medical;\N;;MCD;United Kingdom
Aerolineas Marcos;\N;;MCO;Mexico
Atlantic Aero and Mid-Atlantic Freight;\N;;MDC;United States
Air Madagascar;\N;MD;MDG;Madagascar
Aerosud Charter;\N;;MDX;South Africa
Air Meridan;\N;;MEF;Nigeria
Aero McFly;\N;;MFL;Mexico
Asia Pacific Airlines;\N;;MGE;United States
Aeromagar;\N;;MGS;Mexico
Aero Premier De Mexico;\N;;MIE;Mexico
Air Moldova;\N;9U;MLD;Moldova
Amal Airlines;\N;;MLF;Djibouti
Air Mali;\N;;MLI;Mali
Air Madeleine;\N;;MLN;Canada
Aermarche;\N;;MMC;Italy
Air Alsie;\N;;MMD;Denmark
Aviation Company Meridian;\N;;MMM;Russia
AMP Incorporated;\N;;MMP;United States
Airmax;\N;;MMX;Peru
Aerolineas Amanecer;\N;;MNE;Mexico
Aero Mongolia;\N;M0;MNG;Mongolia
Air Monarch Cargo;\N;;MOC;Mexico
Aeropublicitaria De Angola;\N;;MOP;Angola
Aerolineas De Morelia;\N;;MOR;Mexico
Air Plus Comet;\N;A7;MPD;Spain
Aeromexpress;\N;QO;MPX;Mexico
Air ITM;\N;;MQT;France
Aeromorelos;\N;;MRL;Mexico
Aerocharter;\N;;MRM;Canada
Abas;\N;;MRP;Czech Republic
Air Mauritanie;\N;MR;MRT;Mauritania
Air Cairo;\N;;MSC;Egypt
Air Sport;\N;;MSK;Bulgaria
Aeromas;\N;;MSM;Uruguay
Aerol;\N;;MSO;Mexico
Aero-Kamov;\N;;MSV;Russia
Aerotaxis Metropolitanos;\N;;MTB;Mexico
Aeromet Linea Aerea;\N;;MTE;Chile
Air Metack;\N;;MTK;Angola
Air Montegomery;\N;;MTY;United Kingdom
Aerotaxi Mexicano;\N;;MXO;Mexico
Aero Yaqui Mayo;\N;;MYS;Mexico
AVC Airlines;\N;;MZK;Japan
Aerovias Montes Azules;\N;;MZL;Mexico
Aeroland Airways;\N;3S;;Greece
Astair;\N;8D;;Russian Federation
Albarka Air;\N;F4;NBK;Nigeria
ACA-Ancargo Air Sociedade de Transporte de Carga Lda;\N;;NCL;Angola
Aero Servicios de Nuevo Laredo;\N;;NEL;Mexico
Angoavia;\N;;NGV;Angola
Aeroni;\N;;NID;Mexico
Aeroejecutiva Nieto;\N;;NIE;Mexico
Aero Contractors;\N;AJ;NIG;Nigeria
Aerokuzbass;\N;;NKZ;Russia
Atlantic Airlines;\N;;NPT;United Kingdom
Atlantic Richfield Company;\N;;NRS;United States
Aerolineas Sosa;\N;;NSO;Honduras
Aero Norte;\N;;NTD;Mexico
Air Inter Ivoire;\N;;NTV;Ivory Coast
Aeroservicios De Nuevo Leon;\N;;NUL;Mexico
Avial NV Aviation Company;\N;;NVI;Russia
Airwing;\N;;NWG;Norway
Air Next;\N;;NXA;Japan
Arkhangelsk 2 Aviation Division;\N;;OAO;Russia
Aerogisa;\N;;OGI;Mexico
Aerolineas Olve;\N;;OLV;Mexico
Aeromega;\N;;OMG;United Kingdom
Air One Nine;\N;;ONR;Libya
Air Ontario;\N;;ONT;Canada
Aerocorp;\N;;ORP;Mexico
Action Air;\N;;ORS;Italy
Aerosan;\N;;OSN;Mexico
Aviapartner Limited Company;\N;;OSO;Russia
Aliparma;\N;;PAJ;Italy
Air Parabet;\N;;PBT;Bangladesh
Air Burundi;\N;8Y;PBU;Burundi
Aeropostal Cargo de Mexico;\N;;PCG;Mexico
Air Pack Express;\N;;PCK;Spain
Air Palace;\N;;PCS;Mexico
Aeropelican Air Services;\N;OT;PEL;Australia
Aerolineas Chihuahua;\N;;PFI;Mexico
Air Cargo Express International;\N;;PFT;United States
Al Farana Airline;\N;;PHR;Egypt
Ave.com;\N;;PHW;United Arab Emirates
Air South West;\N;;PIE;United Kingdom
Aeroservicios California Pacifico;\N;;PIF;Mexico
AST Pakistan Airways;\N;;PKA;Pakistan
Aero Personal;\N;;PNL;Mexico
Aero Servicios Platinum;\N;;PNU;Mexico
Apoyo Aereo;\N;;POY;Mexico
Aerotransportes Privados;\N;;PRI;Mexico
Atlantic Coast Jet;\N;;PRT;United States
Air Paradise International;\N;AD;PRZ;Indonesia
Aeroservicio Sipse;\N;;PSE;Mexico
Aeroservicios Corporativos De San Luis;\N;;PSL;Mexico
Aerotransportes Privados;\N;;PVA;Mexico
Aereo Taxi Paraza;\N;;PZA;Mexico
Air Class Lineas Aereas;\N;QD;QCL;Uruguay
Aviation Consultancy Office;\N;;QEA;Australia
Aero Taxi;\N;;QAT;Canada
Aero Taxi Aviation;\N;;QKC;United States
Aviation Quebec Labrador;\N;;QLA;Canada
African Safari Airways;\N;QS;QSC;Kenya
Aero Quimmco;\N;;QUI;Mexico
Alada;\N;;RAD;Angola
Aerotur-Air;\N;;RAI;Kazakhstan
Air Center Helicopters;\N;;RAP;United States
Aur Rum Benin;\N;;RBE;Benin
Aeroserivios Del Bajio;\N;;RBJ;Mexico
Airbus France;\N;4Y;RBU;France
Air Roberval;\N;;RBV;Canada
Arubaexel;\N;;RBX;Aruba
Air Charters Eelde;\N;;RCC;Netherlands
Aerocer;\N;;RCE;Mexico
Aeroflot-Cargo;\N;;RCF;Russia
Air Mobility Command;\N;MC;RCH;United States
Air Cassai;\N;;RCI;Angola
Aero Renta De Coahuila;\N;;RCO;Mexico
Aerocorp;\N;;RCP;Mexico
Aerolineas Regionales;\N;;RCQ;Mexico
Atlantic S.L.;\N;;RCU;Spain
Air Service Center;\N;;RCX;Italy
Adygeya Airlines;\N;;RDD;Russia
Air Ada;\N;;RDM;Mauritania
Aer Arann;\N;RE;REA;Ireland
Aero-Rent;\N;;REN;Mexico
Australian Maritime Safety Authority;\N;;RES;Australia
Air Austral;\N;UU;REU;France
Aero-Rey;\N;;REY;Mexico
Aero Africa;\N;;RFC;Swaziland
Aerotransportes Rafilher;\N;;RFD;Mexico
Argo;\N;;RGO;Dominican Republic
Airbourne School of Flying;\N;;RGT;United Kingdom
Air Archipels;\N;;RHL;France
Aviation Ministry of the Interior of the Russian Federation;\N;;RIF;Russian Federation
Aeris Gestion;\N;;RIS;Spain
Asian Spirit;\N;6K;RIT;Philippines
Aeroservicios Jet;\N;;RJS;Mexico
Air Afrique;\N;RK;RKA;Ivory Coast
Airlinair;\N;A5;RLA;France
Air Nelson;\N;;RLK;New Zealand
Air Leone;\N;;RLL;Sierra Leone
Aero Lanka;\N;QL;RLN;Sri Lanka
Air Alize;\N;;RLZ;France
Air Amder;\N;;RMD;Mauritania
Armenian Airlines;\N;;RME;Armenia
Armenian International Airways;\N;MV;RML;Armenia
Arm-Aero;\N;;RMO;Armenia
Air Max;\N;;RMX;Bulgaria
Air Salone;\N;20;RNE;Sierra Leone
Aeronem Air Cargo;\N;;RNM;Ecuador
Air Cargo Masters;\N;;RNR;United States
Armavia;\N;U8;RNV;Armenia
Aeroeste;\N;;ROE;Bolivia
Aero Gen;\N;;ROH;Mexico
Avior Airlines;\N;;ROI;Venezuela
Aeroel Airways;\N;;ROL;Israel
Aeromar;\N;BQ;ROM;Dominican Republic
Aeroitalia;\N;;ROO;Italy
Aerodan;\N;;ROD;Mexico
AeroRep;\N;P5;RPB;Colombia
Aerolineas Del Pacifico;\N;;RPC;Ecuador
Aero Roca;\N;;RRC;Mexico
Aerotransportes Internacionales De Torreon;\N;;RRE;Mexico
Acvila Air-Romanian Carrier;\N;;RRM;Romania
Aerolineas Ejecutivas Tarascas;\N;;RSC;Mexico
Aero-Service;\N;BF;RSR;Republic of the Congo
Aerosur;\N;5L;RSU;Bolivia
Aeronorte;\N;;RTE;Portugal
Artis;\N;;RTH;France
